Script started on Tue 10 Aug 2021 11:49:40 PM EDT
[?1034hbash-4.2$ ./sort
Sorted Array[198] 9346
Sorted Array[199] 9356
Sorted Array[200] 9421
Sorted Array[201] 9429
Sorted Array[202] 9448
Sorted Array[203] 9461
Sorted Array[204] 9502
Sorted Array[205] 9528
Sorted Array[206] 9528
Sorted Array[207] 9544
Sorted Array[208] 9558
Sorted Array[209] 9590
Sorted Array[210] 9751
Sorted Array[211] 9890
Sorted Array[212] 9933
Sorted Array[213] 9934
Sorted Array[214] 10043
Sorted Array[215] 10100
Sorted Array[216] 10127
Sorted Array[217] 10241
Sorted Array[218] 10250
Sorted Array[219] 10344
Sorted Array[220] 10371
Sorted Array[221] 10376
Sorted Array[222] 10427
Sorted Array[223] 10443
Sorted Array[224] 10505
Sorted Array[225] 10529
Sorted Array[226] 10541
Sorted Array[227] 10560
Sorted Array[228] 10579
Sorted Array[229] 10639
Sorted Array[230] 10651
Sorted Array[231] 10653
Sorted Array[232] 10685
Sorted Array[233] 10708
Sorted Array[234] 10747
Sorted Array[235] 10780
Sorted Array[236] 10782
Sorted Array[237] 10807
Sorted Array[238] 10820
Sorted Array[239] 10829
Sorted Array[240] 10901
Sorted Array[241] 10975
Sorted Array[242] 11113
Sorted Array[243] 11156
Sorted Array[244] 11166
Sorted Array[245] 11351
Sorted Array[246] 11358
Sorted Array[247] 11361
Sorted Array[248] 11383
Sorted Array[249] 11442
Sorted Array[250] 11536
Sorted Array[251] 11579
Sorted Array[252] 11587
Sorted Array[253] 11588
Sorted Array[254] 11651
Sorted Array[255] 11771
Sorted Array[256] 11846
Sorted Array[257] 11850
Sorted Array[258] 11878
Sorted Array[259] 11914
Sorted Array[260] 11923
Sorted Array[261] 11938
Sorted Array[262] 11961
Sorted Array[263] 12078
Sorted Array[264] 12092
Sorted Array[265] 12138
Sorted Array[266] 12139
Sorted Array[267] 12155
Sorted Array[268] 12252
Sorted Array[269] 12348
Sorted Array[270] 12390
Sorted Array[271] 12398
Sorted Array[272] 12418
Sorted Array[273] 12541
Sorted Array[274] 12719
Sorted Array[275] 12753
Sorted Array[276] 12830
Sorted Array[277] 12862
Sorted Array[278] 12867
Sorted Array[279] 12877
Sorted Array[280] 12940
Sorted Array[281] 13033
Sorted Array[282] 13097
Sorted Array[283] 13117
Sorted Array[284] 13275
Sorted Array[285] 13280
Sorted Array[286] 13295
Sorted Array[287] 13297
Sorted Array[288] 13328
Sorted Array[289] 13355
Sorted Array[290] 13410
Sorted Array[291] 13420
Sorted Array[292] 13427
Sorted Array[293] 13471
Sorted Array[294] 13534
Sorted Array[295] 13557
Sorted Array[296] 13576
Sorted Array[297] 13635
Sorted Array[298] 13679
Sorted Array[299] 13695
Sorted Array[300] 13731
Sorted Array[301] 13748
Sorted Array[302] 13774
Sorted Array[303] 13801
Sorted Array[304] 13845
Sorted Array[305] 13887
Sorted Array[306] 13897
Sorted Array[307] 13921
Sorted Array[308] 14139
Sorted Array[309] 14144
Sorted Array[310] 14162
Sorted Array[311] 14185
Sorted Array[312] 14210
Sorted Array[313] 14264
Sorted Array[314] 14264
Sorted Array[315] 14268
Sorted Array[316] 14390
Sorted Array[317] 14401
Sorted Array[318] 14412
Sorted Array[319] 14419
Sorted Array[320] 14443
Sorted Array[321] 14463
Sorted Array[322] 14466
Sorted Array[323] 14505
Sorted Array[324] 14521
Sorted Array[325] 14567
Sorted Array[326] 14587
Sorted Array[327] 14590
Sorted Array[328] 14603
Sorted Array[329] 14700
Sorted Array[330] 14736
Sorted Array[331] 14791
Sorted Array[332] 14801
Sorted Array[333] 14838
Sorted Array[334] 14966
Sorted Array[335] 14971
Sorted Array[336] 14992
Sorted Array[337] 14999
Sorted Array[338] 15012
Sorted Array[339] 15015
Sorted Array[340] 15022
Sorted Array[341] 15025
Sorted Array[342] 15150
Sorted Array[343] 15179
Sorted Array[344] 15233
Sorted Array[345] 15233
Sorted Array[346] 15233
Sorted Array[347] 15360
Sorted Array[348] 15362
Sorted Array[349] 15376
Sorted Array[350] 15416
Sorted Array[351] 15531
Sorted Array[352] 15592
Sorted Array[353] 15762
Sorted Array[354] 15767
Sorted Array[355] 15797
Sorted Array[356] 15819
Sorted Array[357] 15946
Sorted Array[358] 16064
Sorted Array[359] 16114
Sorted Array[360] 16130
Sorted Array[361] 16131
Sorted Array[362] 16174
Sorted Array[363] 16195
Sorted Array[364] 16231
Sorted Array[365] 16304
Sorted Array[366] 16347
Sorted Array[367] 16416
Sorted Array[368] 16430
Sorted Array[369] 16431
Sorted Array[370] 16433
Sorted Array[371] 16538
Sorted Array[372] 16571
Sorted Array[373] 16620
Sorted Array[374] 16720
Sorted Array[375] 16727
Sorted Array[376] 16736
Sorted Array[377] 16759
Sorted Array[378] 16764
Sorted Array[379] 16778
Sorted Array[380] 16822
Sorted Array[381] 16829
Sorted Array[382] 16852
Sorted Array[383] 17016
Sorted Array[384] 17025
Sorted Array[385] 17025
Sorted Array[386] 17050
Sorted Array[387] 17141
Sorted Array[388] 17154
Sorted Array[389] 17271
Sorted Array[390] 17329
Sorted Array[391] 17348
Sorted Array[392] 17385
Sorted Array[393] 17406
Sorted Array[394] 17451
Sorted Array[395] 17452
Sorted Array[396] 17459
Sorted Array[397] 17522
Sorted Array[398] 17522
Sorted Array[399] 17547
Sorted Array[400] 17547
Sorted Array[401] 17555
Sorted Array[402] 17574
Sorted Array[403] 17682
Sorted Array[404] 17750
Sorted Array[405] 17896
Sorted Array[406] 17906
Sorted Array[407] 17994
Sorted Array[408] 18017
Sorted Array[409] 18032
Sorted Array[410] 18049
Sorted Array[411] 18152
Sorted Array[412] 18170
Sorted Array[413] 18197
Sorted Array[414] 18254
Sorted Array[415] 18278
Sorted Array[416] 18298
Sorted Array[417] 18342
Sorted Array[418] 18382
Sorted Array[419] 18432
Sorted Array[420] 18440
Sorted Array[421] 18511
Sorted Array[422] 18513
Sorted Array[423] 18526
Sorted Array[424] 18550
Sorted Array[425] 18553
Sorted Array[426] 18611
Sorted Array[427] 18615
Sorted Array[428] 18730
Sorted Array[429] 18773
Sorted Array[430] 18788
Sorted Array[431] 18791
Sorted Array[432] 18887
Sorted Array[433] 19004
Sorted Array[434] 19033
Sorted Array[435] 19074
Sorted Array[436] 19088
Sorted Array[437] 19094
Sorted Array[438] 19106
Sorted Array[439] 19219
Sorted Array[440] 19294
Sorted Array[441] 19304
Sorted Array[442] 19319
Sorted Array[443] 19325
Sorted Array[444] 19371
Sorted Array[445] 19376
Sorted Array[446] 19448
Sorted Array[447] 19560
Sorted Array[448] 19585
Sorted Array[449] 19596
Sorted Array[450] 19611
Sorted Array[451] 19690
Sorted Array[452] 19706
Sorted Array[453] 19734
Sorted Array[454] 19829
Sorted Array[455] 19940
Sorted Array[456] 19951
Sorted Array[457] 19971
Sorted Array[458] 19972
Sorted Array[459] 20009
Sorted Array[460] 20027
Sorted Array[461] 20033
Sorted Array[462] 20042
Sorted Array[463] 20066
Sorted Array[464] 20067
Sorted Array[465] 20077
Sorted Array[466] 20164
Sorted Array[467] 20248
Sorted Array[468] 20353
Sorted Array[469] 20360
Sorted Array[470] 20376
Sorted Array[471] 20386
Sorted Array[472] 20391
Sorted Array[473] 20419
Sorted Array[474] 20495
Sorted Array[475] 20511
Sorted Array[476] 20559
Sorted Array[477] 20562
Sorted Array[478] 20600
Sorted Array[479] 20608
Sorted Array[480] 20643
Sorted Array[481] 20652
Sorted Array[482] 20825
Sorted Array[483] 20925
Sorted Array[484] 21090
Sorted Array[485] 21114
Sorted Array[486] 21167
Sorted Array[487] 21194
Sorted Array[488] 21246
Sorted Array[489] 21248
Sorted Array[490] 21300
Sorted Array[491] 21313
Sorted Array[492] 21429
Sorted Array[493] 21460
Sorted Array[494] 21464
Sorted Array[495] 21492
Sorted Array[496] 21541
Sorted Array[497] 21584
Sorted Array[498] 21614
Sorted Array[499] 21638
Sorted Array[500] 21667
Sorted Array[501] 21683
Sorted Array[502] 21695
Sorted Array[503] 21718
Sorted Array[504] 21725
Sorted Array[505] 21760
Sorted Array[506] 21855
Sorted Array[507] 21882
Sorted Array[508] 21884
Sorted Array[509] 21885
Sorted Array[510] 21895
Sorted Array[511] 21915
Sorted Array[512] 21936
Sorted Array[513] 21938
Sorted Array[514] 22009
Sorted Array[515] 22045
Sorted Array[516] 22076
Sorted Array[517] 22137
Sorted Array[518] 22174
Sorted Array[519] 22201
Sorted Array[520] 22240
Sorted Array[521] 22286
Sorted Array[522] 22345
Sorted Array[523] 22347
Sorted Array[524] 22356
Sorted Array[525] 22373
Sorted Array[526] 22388
Sorted Array[527] 22389
Sorted Array[528] 22471
Sorted Array[529] 22512
Sorted Array[530] 22635
Sorted Array[531] 22647
Sorted Array[532] 22736
Sorted Array[533] 22745
Sorted Array[534] 22758
Sorted Array[535] 22777
Sorted Array[536] 22838
Sorted Array[537] 22854
Sorted Array[538] 22905
Sorted Array[539] 22919
Sorted Array[540] 22923
Sorted Array[541] 22935
Sorted Array[542] 22983
Sorted Array[543] 23005
Sorted Array[544] 23022
Sorted Array[545] 23111
Sorted Array[546] 23119
Sorted Array[547] 23147
Sorted Array[548] 23196
Sorted Array[549] 23234
Sorted Array[550] 23265
Sorted Array[551] 23325
Sorted Array[552] 23333
Sorted Array[553] 23357
Sorted Array[554] 23375
Sorted Array[555] 23397
Sorted Array[556] 23402
Sorted Array[557] 23406
Sorted Array[558] 23437
Sorted Array[559] 23444
Sorted Array[560] 23488
Sorted Array[561] 23506
Sorted Array[562] 23520
Sorted Array[563] 23576
Sorted Array[564] 23677
Sorted Array[565] 23701
Sorted Array[566] 23727
Sorted Array[567] 23743
Sorted Array[568] 23743
Sorted Array[569] 23786
Sorted Array[570] 23883
Sorted Array[571] 23888
Sorted Array[572] 23924
Sorted Array[573] 23936
Sorted Array[574] 24095
Sorted Array[575] 24127
Sorted Array[576] 24135
Sorted Array[577] 24147
Sorted Array[578] 24157
Sorted Array[579] 24184
Sorted Array[580] 24189
Sorted Array[581] 24228
Sorted Array[582] 24244
Sorted Array[583] 24257
Sorted Array[584] 24311
Sorted Array[585] 24344
Sorted Array[586] 24387
Sorted Array[587] 24407
Sorted Array[588] 24416
Sorted Array[589] 24440
Sorted Array[590] 24488
Sorted Array[591] 24566
Sorted Array[592] 24593
Sorted Array[593] 24593
Sorted Array[594] 24604
Sorted Array[595] 24610
Sorted Array[596] 24700
Sorted Array[597] 24740
Sorted Array[598] 24747
Sorted Array[599] 24751
Sorted Array[600] 24762
Sorted Array[601] 24812
Sorted Array[602] 24846
Sorted Array[603] 24918
Sorted Array[604] 24980
Sorted Array[605] 24994
Sorted Array[606] 25055
Sorted Array[607] 25090
Sorted Array[608] 25104
Sorted Array[609] 25171
Sorted Array[610] 25182
Sorted Array[611] 25329
Sorted Array[612] 25406
Sorted Array[613] 25494
Sorted Array[614] 25497
Sorted Array[615] 25536
Sorted Array[616] 25653
Sorted Array[617] 25715
Sorted Array[618] 25747
Sorted Array[619] 25790
Sorted Array[620] 25803
Sorted Array[621] 25810
Sorted Array[622] 25828
Sorted Array[623] 25887
Sorted Array[624] 25899
Sorted Array[625] 25946
Sorted Array[626] 25952
Sorted Array[627] 26048
Sorted Array[628] 26092
Sorted Array[629] 26097
Sorted Array[630] 26115
Sorted Array[631] 26126
Sorted Array[632] 26141
Sorted Array[633] 26164
Sorted Array[634] 26292
Sorted Array[635] 26558
Sorted Array[636] 26580
Sorted Array[637] 26591
Sorted Array[638] 26602
Sorted Array[639] 26620
Sorted Array[640] 26644
Sorted Array[641] 26646
Sorted Array[642] 26687
Sorted Array[643] 26717
Sorted Array[644] 26723
Sorted Array[645] 26769
Sorted Array[646] 26774
Sorted Array[647] 26811
Sorted Array[648] 26843
Sorted Array[649] 26844
Sorted Array[650] 26852
Sorted Array[651] 26916
Sorted Array[652] 26922
Sorted Array[653] 26996
Sorted Array[654] 27014
Sorted Array[655] 27015
Sorted Array[656] 27065
Sorted Array[657] 27165
Sorted Array[658] 27195
Sorted Array[659] 27215
Sorted Array[660] 27269
Sorted Array[661] 27335
Sorted Array[662] 27350
Sorted Array[663] 27406
Sorted Array[664] 27474
Sorted Array[665] 27478
Sorted Array[666] 27480
Sorted Array[667] 27488
Sorted Array[668] 27542
Sorted Array[669] 27548
Sorted Array[670] 27559
Sorted Array[671] 27753
Sorted Array[672] 27779
Sorted Array[673] 27790
Sorted Array[674] 27944
Sorted Array[675] 27947
Sorted Array[676] 27949
Sorted Array[677] 27949
Sorted Array[678] 27963
Sorted Array[679] 28002
Sorted Array[680] 28003
Sorted Array[681] 28005
Sorted Array[682] 28032
Sorted Array[683] 28061
Sorted Array[684] 28131
Sorted Array[685] 28207
Sorted Array[686] 28266
Sorted Array[687] 28322
Sorted Array[688] 28378
Sorted Array[689] 28385
Sorted Array[690] 28390
Sorted Array[691] 28392
Sorted Array[692] 28431
Sorted Array[693] 28450
Sorted Array[694] 28506
Sorted Array[695] 28556
Sorted Array[696] 28643
Sorted Array[697] 28644
Sorted Array[698] 28755
Sorted Array[699] 28758
Sorted Array[700] 28761
Sorted Array[701] 28771
Sorted Array[702] 28780
Sorted Array[703] 28928
Sorted Array[704] 29033
Sorted Array[705] 29118
Sorted Array[706] 29152
Sorted Array[707] 29213
Sorted Array[708] 29213
Sorted Array[709] 29230
Sorted Array[710] 29264
Sorted Array[711] 29268
Sorted Array[712] 29269
Sorted Array[713] 29269
Sorted Array[714] 29321
Sorted Array[715] 29398
Sorted Array[716] 29423
Sorted Array[717] 29614
Sorted Array[718] 29648
Sorted Array[719] 29650
Sorted Array[720] 29752
Sorted Array[721] 29786
Sorted Array[722] 29864
Sorted Array[723] 29937
Sorted Array[724] 30023
Sorted Array[725] 30038
Sorted Array[726] 30065
Sorted Array[727] 30095
Sorted Array[728] 30112
Sorted Array[729] 30118
Sorted Array[730] 30119
Sorted Array[731] 30173
Sorted Array[732] 30207
Sorted Array[733] 30370
Sorted Array[734] 30407
Sorted Array[735] 30410
Sorted Array[736] 30427
Sorted Array[737] 30436
Sorted Array[738] 30449
Sorted Array[739] 30500
Sorted Array[740] 30581
Sorted Array[741] 30594
Sorted Array[742] 30687
Sorted Array[743] 30725
Sorted Array[744] 30786
Sorted Array[745] 30824
Sorted Array[746] 30835
Sorted Array[747] 30965
Sorted Array[748] 30969
Sorted Array[749] 31004
Sorted Array[750] 31097
Sorted Array[751] 31118
Sorted Array[752] 31360
Sorted Array[753] 31482
Sorted Array[754] 31674
Sorted Array[755] 31701
Sorted Array[756] 31713
Sorted Array[757] 31728
Sorted Array[758] 31777
Sorted Array[759] 31801
Sorted Array[760] 31836
Sorted Array[761] 31887
Sorted Array[762] 31916
Sorted Array[763] 32031
Sorted Array[764] 32111
Sorted Array[765] 32117
Sorted Array[766] 32140
Sorted Array[767] 32180
Sorted Array[768] 32190
Sorted Array[769] 32236
Sorted Array[770] 32497
Sorted Array[771] 32505
Sorted Array[772] 32606
Sorted Array[773] 32612
Sorted Array[774] 32614
Sorted Array[775] 32650
Sorted Array[776] 32670
Sorted Array[777] 32694
Sorted Array[778] 32714
Sorted Array[779] 32860
Sorted Array[780] 33002
Sorted Array[781] 33013
Sorted Array[782] 33065
Sorted Array[783] 33071
Sorted Array[784] 33124
Sorted Array[785] 33211
Sorted Array[786] 33221
Sorted Array[787] 33252
Sorted Array[788] 33254
Sorted Array[789] 33345
Sorted Array[790] 33365
Sorted Array[791] 33369
Sorted Array[792] 33411
Sorted Array[793] 33509
Sorted Array[794] 33559
Sorted Array[795] 33598
Sorted Array[796] 33619
Sorted Array[797] 33639
Sorted Array[798] 33673
Sorted Array[799] 33694
Sorted Array[800] 33701
Sorted Array[801] 33717
Sorted Array[802] 33752
Sorted Array[803] 33987
Sorted Array[804] 34003
Sorted Array[805] 34072
Sorted Array[806] 34096
Sorted Array[807] 34145
Sorted Array[808] 34250
Sorted Array[809] 34252
Sorted Array[810] 34256
Sorted Array[811] 34305
Sorted Array[812] 34325
Sorted Array[813] 34357
Sorted Array[814] 34381
Sorted Array[815] 34409
Sorted Array[816] 34599
Sorted Array[817] 34623
Sorted Array[818] 34652
Sorted Array[819] 34697
Sorted Array[820] 34794
Sorted Array[821] 34850
Sorted Array[822] 34865
Sorted Array[823] 34870
Sorted Array[824] 34874
Sorted Array[825] 34880
Sorted Array[826] 34881
Sorted Array[827] 34891
Sorted Array[828] 34961
Sorted Array[829] 35012
Sorted Array[830] 35044
Sorted Array[831] 35073
Sorted Array[832] 35100
Sorted Array[833] 35127
Sorted Array[834] 35148
Sorted Array[835] 35158
Sorted Array[836] 35169
Sorted Array[837] 35258
Sorted Array[838] 35281
Sorted Array[839] 35341
Sorted Array[840] 35408
Sorted Array[841] 35423
Sorted Array[842] 35441
Sorted Array[843] 35495
Sorted Array[844] 35507
Sorted Array[845] 35555
Sorted Array[846] 35618
Sorted Array[847] 35619
Sorted Array[848] 35631
Sorted Array[849] 35757
Sorted Array[850] 35819
Sorted Array[851] 35827
Sorted Array[852] 35866
Sorted Array[853] 35933
Sorted Array[854] 35951
Sorted Array[855] 35968
Sorted Array[856] 35969
Sorted Array[857] 35985
Sorted Array[858] 36065
Sorted Array[859] 36148
Sorted Array[860] 36183
Sorted Array[861] 36232
Sorted Array[862] 36278
Sorted Array[863] 36321
Sorted Array[864] 36372
Sorted Array[865] 36523
Sorted Array[866] 36565
Sorted Array[867] 36596
Sorted Array[868] 36785
Sorted Array[869] 36785
Sorted Array[870] 36801
Sorted Array[871] 36818
Sorted Array[872] 36905
Sorted Array[873] 36915
Sorted Array[874] 36967
Sorted Array[875] 36992
Sorted Array[876] 36998
Sorted Array[877] 37040
Sorted Array[878] 37074
Sorted Array[879] 37090
Sorted Array[880] 37155
Sorted Array[881] 37222
Sorted Array[882] 37325
Sorted Array[883] 37359
Sorted Array[884] 37396
Sorted Array[885] 37439
Sorted Array[886] 37523
Sorted Array[887] 37526
Sorted Array[888] 37533
Sorted Array[889] 37667
Sorted Array[890] 37684
Sorted Array[891] 37688
Sorted Array[892] 37750
Sorted Array[893] 37786
Sorted Array[894] 37822
Sorted Array[895] 37850
Sorted Array[896] 37871
Sorted Array[897] 37903
Sorted Array[898] 37904
Sorted Array[899] 37961
Sorted Array[900] 37977
Sorted Array[901] 38039
Sorted Array[902] 38106
Sorted Array[903] 38124
Sorted Array[904] 38306
Sorted Array[905] 38319
Sorted Array[906] 38337
Sorted Array[907] 38435
Sorted Array[908] 38438
Sorted Array[909] 38450
Sorted Array[910] 38534
Sorted Array[911] 38540
Sorted Array[912] 38553
Sorted Array[913] 38571
Sorted Array[914] 38578
Sorted Array[915] 38595
Sorted Array[916] 38637
Sorted Array[917] 38674
Sorted Array[918] 38773
Sorted Array[919] 38866
Sorted Array[920] 38898
Sorted Array[921] 38966
Sorted Array[922] 39123
Sorted Array[923] 39151
Sorted Array[924] 39158
Sorted Array[925] 39173
Sorted Array[926] 39239
Sorted Array[927] 39295
Sorted Array[928] 39332
Sorted Array[929] 39447
Sorted Array[930] 39449
Sorted Array[931] 39552
Sorted Array[932] 39560
Sorted Array[933] 39667
Sorted Array[934] 39720
Sorted Array[935] 39726
Sorted Array[936] 39781
Sorted Array[937] 39791
Sorted Array[938] 39798
Sorted Array[939] 39814
Sorted Array[940] 39846
Sorted Array[941] 39870
Sorted Array[942] 39871
Sorted Array[943] 39912
Sorted Array[944] 39942
Sorted Array[945] 40038
Sorted Array[946] 40126
Sorted Array[947] 40149
Sorted Array[948] 40195
Sorted Array[949] 40350
Sorted Array[950] 40434
Sorted Array[951] 40465
Sorted Array[952] 40538
Sorted Array[953] 40577
Sorted Array[954] 40597
Sorted Array[955] 40604
Sorted Array[956] 40640
Sorted Array[957] 40718
Sorted Array[958] 40825
Sorted Array[959] 40828
Sorted Array[960] 40884
Sorted Array[961] 40909
Sorted Array[962] 40917
Sorted Array[963] 41110
Sorted Array[964] 41121
Sorted Array[965] 41158
Sorted Array[966] 41158
Sorted Array[967] 41176
Sorted Array[968] 41212
Sorted Array[969] 41226
Sorted Array[970] 41245
Sorted Array[971] 41297
Sorted Array[972] 41367
Sorted Array[973] 41407
Sorted Array[974] 41421
Sorted Array[975] 41629
Sorted Array[976] 41642
Sorted Array[977] 41687
Sorted Array[978] 41695
Sorted Array[979] 41752
Sorted Array[980] 41786
Sorted Array[981] 41824
Sorted Array[982] 41893
Sorted Array[983] 41934
Sorted Array[984] 42054
Sorted Array[985] 42056
Sorted Array[986] 42182
Sorted Array[987] 42203
Sorted Array[988] 42237
Sorted Array[989] 42277
Sorted Array[990] 42294
Sorted Array[991] 42341
Sorted Array[992] 42349
Sorted Array[993] 42491
Sorted Array[994] 42532
Sorted Array[995] 42538
Sorted Array[996] 42551
Sorted Array[997] 42575
Sorted Array[998] 42641
Sorted Array[999] 42651
Sorted Array[1000] 42826
Sorted Array[1001] 42844
Sorted Array[1002] 42859
Sorted Array[1003] 42901
Sorted Array[1004] 42982
Sorted Array[1005] 42992
Sorted Array[1006] 43024
Sorted Array[1007] 43058
Sorted Array[1008] 43058
Sorted Array[1009] 43077
Sorted Array[1010] 43088
Sorted Array[1011] 43110
Sorted Array[1012] 43170
Sorted Array[1013] 43219
Sorted Array[1014] 43221
Sorted Array[1015] 43229
Sorted Array[1016] 43293
Sorted Array[1017] 43306
Sorted Array[1018] 43351
Sorted Array[1019] 43474
Sorted Array[1020] 43539
Sorted Array[1021] 43581
Sorted Array[1022] 43597
Sorted Array[1023] 43702
Sorted Array[1024] 43716
Sorted Array[1025] 43726
Sorted Array[1026] 43735
Sorted Array[1027] 43814
Sorted Array[1028] 43850
Sorted Array[1029] 43876
Sorted Array[1030] 43920
Sorted Array[1031] 44029
Sorted Array[1032] 44088
Sorted Array[1033] 44206
Sorted Array[1034] 44233
Sorted Array[1035] 44264
Sorted Array[1036] 44306
Sorted Array[1037] 44377
Sorted Array[1038] 44418
Sorted Array[1039] 44460
Sorted Array[1040] 44537
Sorted Array[1041] 44588
Sorted Array[1042] 44604
Sorted Array[1043] 44667
Sorted Array[1044] 44890
Sorted Array[1045] 44895
Sorted Array[1046] 44898
Sorted Array[1047] 44965
Sorted Array[1048] 44976
Sorted Array[1049] 44986
Sorted Array[1050] 45001
Sorted Array[1051] 45003
Sorted Array[1052] 45106
Sorted Array[1053] 45117
Sorted Array[1054] 45133
Sorted Array[1055] 45145
Sorted Array[1056] 45159
Sorted Array[1057] 45290
Sorted Array[1058] 45340
Sorted Array[1059] 45367
Sorted Array[1060] 45398
Sorted Array[1061] 45447
Sorted Array[1062] 45539
Sorted Array[1063] 45589
Sorted Array[1064] 45606
Sorted Array[1065] 45629
