Script started on Tue 10 Aug 2021 09:12:14 PM EDT
[?1034hbash-4.2$ clear./trie[K[K[K[K[K[K./sort
array[757]: 668754
array[758]: 690802
array[759]: 962977
array[760]: 63203
array[761]: 412586
array[762]: 196128
array[763]: 435368
array[764]: 274968
array[765]: 117695
array[766]: 51973
array[767]: 163726
array[768]: 785567
array[769]: 602496
array[770]: 648261
array[771]: 565083
array[772]: 384713
array[773]: 675533
array[774]: 549482
array[775]: 180982
array[776]: 974132
array[777]: 640066
array[778]: 668947
array[779]: 82993
array[780]: 299634
array[781]: 613538
array[782]: 824354
array[783]: 523221
array[784]: 394002
array[785]: 525081
array[786]: 732867
array[787]: 738789
array[788]: 1016426
array[789]: 703064
array[790]: 921970
array[791]: 429515
array[792]: 985676
array[793]: 924481
array[794]: 830305
array[795]: 573057
array[796]: 638515
array[797]: 67954
array[798]: 25790
array[799]: 158093
array[800]: 633823
array[801]: 785746
array[802]: 755071
array[803]: 547425
array[804]: 903178
array[805]: 518807
array[806]: 1006919
array[807]: 609756
array[808]: 115379
array[809]: 138216
array[810]: 801980
array[811]: 1011896
array[812]: 4213
array[813]: 467236
array[814]: 504193
array[815]: 611398
array[816]: 300441
array[817]: 1012728
array[818]: 7874
array[819]: 548342
array[820]: 378331
array[821]: 861023
array[822]: 495304
array[823]: 484648
array[824]: 556586
array[825]: 823362
array[826]: 295711
array[827]: 403879
array[828]: 97358
array[829]: 787626
array[830]: 311532
array[831]: 523191
array[832]: 331409
array[833]: 619761
array[834]: 333446
array[835]: 454846
array[836]: 665296
array[837]: 582121
array[838]: 128117
array[839]: 713643
array[840]: 702180
array[841]: 665447
array[842]: 564301
array[843]: 843682
array[844]: 554280
array[845]: 450603
array[846]: 877280
array[847]: 748976
array[848]: 170565
array[849]: 862381
array[850]: 975534
array[851]: 533645
array[852]: 673829
array[853]: 468150
array[854]: 785680
array[855]: 317498
array[856]: 620147
array[857]: 374096
array[858]: 929814
array[859]: 448474
array[860]: 796443
array[861]: 740320
array[862]: 397367
array[863]: 515116
array[864]: 362439
array[865]: 539132
array[866]: 13534
array[867]: 988958
array[868]: 882819
array[869]: 890090
array[870]: 841316
array[871]: 707750
array[872]: 580203
array[873]: 538650
array[874]: 135158
array[875]: 988214
array[876]: 589735
array[877]: 508481
array[878]: 537534
array[879]: 516472
array[880]: 246418
array[881]: 362869
array[882]: 433756
array[883]: 540595
array[884]: 707495
array[885]: 764605
array[886]: 897821
array[887]: 424247
array[888]: 856559
array[889]: 848057
array[890]: 554010
array[891]: 678457
array[892]: 319017
array[893]: 419542
array[894]: 886071
array[895]: 965577
array[896]: 555254
array[897]: 264170
array[898]: 44306
array[899]: 660511
array[900]: 864686
array[901]: 499530
array[902]: 757355
array[903]: 539519
array[904]: 997193
array[905]: 826552
array[906]: 308024
array[907]: 750998
array[908]: 959043
array[909]: 933934
array[910]: 476844
array[911]: 118693
array[912]: 615075
array[913]: 707835
array[914]: 535511
array[915]: 762436
array[916]: 552061
array[917]: 382012
array[918]: 937060
array[919]: 93362
array[920]: 826887
array[921]: 232622
array[922]: 484092
array[923]: 731350
array[924]: 557092
array[925]: 301702
array[926]: 484212
array[927]: 717761
array[928]: 877534
array[929]: 290389
array[930]: 834547
array[931]: 245670
array[932]: 658885
array[933]: 156950
array[934]: 519113
array[935]: 743097
array[936]: 524618
array[937]: 501590
array[938]: 965793
array[939]: 570119
array[940]: 216857
array[941]: 315403
array[942]: 730428
array[943]: 462605
array[944]: 311723
array[945]: 858767
array[946]: 72156
array[947]: 100400
array[948]: 855005
array[949]: 646366
array[950]: 766897
array[951]: 566338
array[952]: 971006
array[953]: 575216
array[954]: 253584
array[955]: 95283
array[956]: 542722
array[957]: 187052
array[958]: 438063
array[959]: 606830
array[960]: 247519
array[961]: 477466
array[962]: 723764
array[963]: 654354
array[964]: 592764
array[965]: 733511
array[966]: 409947
array[967]: 233908
array[968]: 278510
array[969]: 734079
array[970]: 950800
array[971]: 59202
array[972]: 993556
array[973]: 376831
array[974]: 84624
array[975]: 662332
array[976]: 1670
array[977]: 737101
array[978]: 58388
array[979]: 376169
array[980]: 909832
array[981]: 653150
array[982]: 628718
array[983]: 419194
array[984]: 598827
array[985]: 876633
array[986]: 19972
array[987]: 619266
array[988]: 421203
array[989]: 905887
array[990]: 575886
array[991]: 852978
array[992]: 917143
array[993]: 549023
array[994]: 309992
array[995]: 983227
array[996]: 53214
array[997]: 698668
array[998]: 844778
array[999]: 379282
array[1000]: 144544
array[1001]: 904105
array[1002]: 1021036
array[1003]: 831771
array[1004]: 470703
array[1005]: 370117
array[1006]: 516858
array[1007]: 314255
array[1008]: 692179
array[1009]: 643241
array[1010]: 163050
array[1011]: 858860
array[1012]: 360774
array[1013]: 227532
array[1014]: 903563
array[1015]: 558160
array[1016]: 933317
array[1017]: 283711
array[1018]: 705719
array[1019]: 442509
array[1020]: 714494
array[1021]: 137560
array[1022]: 771960
array[1023]: 363442
array[1024]: 988516
array[1025]: 142833
array[1026]: 425972
array[1027]: 849842
array[1028]: 126877
array[1029]: 726886
array[1030]: 142287
array[1031]: 742978
array[1032]: 995516
array[1033]: 575710
array[1034]: 386513
array[1035]: 850741
array[1036]: 726822
array[1037]: 354485
array[1038]: 231289
array[1039]: 30207
array[1040]: 476025
array[1041]: 523970
array[1042]: 869112
array[1043]: 214984
array[1044]: 1022605
array[1045]: 109485
array[1046]: 646593
array[1047]: 344922
array[1048]: 416071
array[1049]: 61429
array[1050]: 138816
array[1051]: 224386
array[1052]: 744449
array[1053]: 455022
array[1054]: 231096
array[1055]: 168183
array[1056]: 58532
array[1057]: 334640
array[1058]: 924225
array[1059]: 845704
array[1060]: 921429
array[1061]: 703377
array[1062]: 937765
array[1063]: 781337
array[1064]: 580132
array[1065]: 420070
array[1066]: 270769
array[1067]: 14466
array[1068]: 725774
array[1069]: 862760
array[1070]: 107044
array[1071]: 292419
array[1072]: 258365
array[1073]: 294459
array[1074]: 348235
array[1075]: 299525
array[1076]: 861605
array[1077]: 418687
array[1078]: 142470
array[1079]: 554664
array[1080]: 599079
array[1081]: 508203
array[1082]: 67423
array[1083]: 861421
array[1084]: 990747
array[1085]: 234941
array[1086]: 478113
array[1087]: 1000821
array[1088]: 810948
array[1089]: 149482
array[1090]: 115531
array[1091]: 230994
array[1092]: 633665
array[1093]: 349150
array[1094]: 758365
array[1095]: 656769
array[1096]: 160817
array[1097]: 119324
array[1098]: 154403
array[1099]: 581878
array[1100]: 495564
array[1101]: 630632
array[1102]: 1006225
array[1103]: 453885
array[1104]: 303658
array[1105]: 712101
array[1106]: 600575
array[1107]: 231523
array[1108]: 682909
array[1109]: 227450
array[1110]: 982628
array[1111]: 317529
array[1112]: 289082
array[1113]: 723181
array[1114]: 814145
array[1115]: 144915
array[1116]: 432546
array[1117]: 965899
array[1118]: 493485
array[1119]: 337173
array[1120]: 179454
array[1121]: 250273
array[1122]: 901894
array[1123]: 552586
array[1124]: 32606
array[1125]: 144564
array[1126]: 370437
array[1127]: 518711
array[1128]: 239130
array[1129]: 957038
array[1130]: 445308
array[1131]: 222446
array[1132]: 610320
array[1133]: 556669
array[1134]: 240928
array[1135]: 627813
array[1136]: 353099
array[1137]: 915477
array[1138]: 269744
array[1139]: 305820
array[1140]: 734186
array[1141]: 512764
array[1142]: 870581
array[1143]: 646272
array[1144]: 263420
array[1145]: 187815
array[1146]: 360297
array[1147]: 136513
array[1148]: 17459
array[1149]: 308849
array[1150]: 278083
array[1151]: 615448
array[1152]: 980479
array[1153]: 293142
array[1154]: 503445
array[1155]: 305958
array[1156]: 307520
array[1157]: 597680
array[1158]: 884967
array[1159]: 706777
array[1160]: 684377
array[1161]: 769733
array[1162]: 116445
array[1163]: 921707
array[1164]: 509940
array[1165]: 301922
array[1166]: 829110
array[1167]: 303199
array[1168]: 270824
array[1169]: 185465
array[1170]: 886452
array[1171]: 199777
array[1172]: 727920
array[1173]: 77576
array[1174]: 336960
array[1175]: 976016
array[1176]: 174147
array[1177]: 479682
array[1178]: 132151
array[1179]: 306142
array[1180]: 45880
array[1181]: 751391
array[1182]: 863113
array[1183]: 344448
array[1184]: 800608
array[1185]: 793616
array[1186]: 142550
array[1187]: 317742
array[1188]: 291229
array[1189]: 68255
array[1190]: 504948
array[1191]: 532353
array[1192]: 317844
array[1193]: 657326
array[1194]: 492460
array[1195]: 522515
array[1196]: 598683
array[1197]: 480341
array[1198]: 240636
array[1199]: 393774
array[1200]: 1017490
array[1201]: 839966
array[1202]: 259581
array[1203]: 271773
array[1204]: 518826
array[1205]: 737218
array[1206]: 240756
array[1207]: 94247
array[1208]: 102324
array[1209]: 955202
array[1210]: 561047
array[1211]: 441054
array[1212]: 371342
array[1213]: 760505
array[1214]: 757808
array[1215]: 270490
array[1216]: 287061
array[1217]: 635544
array[1218]: 1658
array[1219]: 137092
array[1220]: 361141
array[1221]: 102151
array[1222]: 419895
array[1223]: 118067
array[1224]: 82862
array[1225]: 359830
array[1226]: 756797
array[1227]: 437447
array[1228]: 459371
array[1229]: 117245
array[1230]: 365813
array[1231]: 273240
array[1232]: 410381
array[1233]: 535649
array[1234]: 121153
array[1235]: 341668
array[1236]: 465459
array[1237]: 272897
array[1238]: 58236
array[1239]: 688075
array[1240]: 592990
array[1241]: 720137
array[1242]: 518868
array[1243]: 495843
array[1244]: 144243
array[1245]: 687168
array[1246]: 196808
array[1247]: 938490
array[1248]: 409052
array[1249]: 228201
array[1250]: 872863
array[1251]: 714342
array[1252]: 486045
array[1253]: 214243
array[1254]: 542888
array[1255]: 466505
array[1256]: 68652
array[1257]: 335657
array[1258]: 913504
array[1259]: 53877
array[1260]: 497681
array[1261]: 389896
array[1262]: 332314
array[1263]: 527003
array[1264]: 277563
array[1265]: 711731
array[1266]: 142216
array[1267]: 433658
array[1268]: 464363
array[1269]: 289539
array[1270]: 300046
array[1271]: 2344
array[1272]: 553334
array[1273]: 189486
array[1274]: 643798
array[1275]: 210245
array[1276]: 959235
array[1277]: 849868
array[1278]: 710780
array[1279]: 444489
array[1280]: 114780
array[1281]: 289935
array[1282]: 82913
array[1283]: 14736
array[1284]: 593476
array[1285]: 162507
array[1286]: 419616
array[1287]: 205315
array[1288]: 878100
array[1289]: 968021
array[1290]: 360145
array[1291]: 440408
array[1292]: 182550
array[1293]: 833704
array[1294]: 976216
array[1295]: 254653
array[1296]: 267015
array[1297]: 979667
array[1298]: 319674
array[1299]: 1605
array[1300]: 226632
array[1301]: 208492
array[1302]: 42182
array[1303]: 315001
array[1304]: 486255
array[1305]: 443166
array[1306]: 82595
array[1307]: 591995
array[1308]: 873208
array[1309]: 189013
array[1310]: 403126
array[1311]: 556877
array[1312]: 91998
array[1313]: 853131
array[1314]: 380446
array[1315]: 317404
array[1316]: 591491
array[1317]: 481802
array[1318]: 592634
array[1319]: 505406
array[1320]: 1019537
array[1321]: 458575
array[1322]: 98509
array[1323]: 20600
array[1324]: 111871
array[1325]: 249123
array[1326]: 426182
array[1327]: 802250
array[1328]: 213004
array[1329]: 97938
array[1330]: 166458
array[1331]: 679560
array[1332]: 566569
array[1333]: 31097
array[1334]: 232802
array[1335]: 371077
array[1336]: 306978
array[1337]: 741841
array[1338]: 771782
array[1339]: 343701
array[1340]: 541405
array[1341]: 748810
array[1342]: 752028
array[1343]: 339179
array[1344]: 169439
array[1345]: 440979
array[1346]: 976375
array[1347]: 194604
array[1348]: 766591
array[1349]: 482760
array[1350]: 935811
array[1351]: 418684
array[1352]: 525139
array[1353]: 47995
array[1354]: 94964
array[1355]: 340274
array[1356]: 484775
array[1357]: 87538
array[1358]: 948580
array[1359]: 38124
array[1360]: 89590
array[1361]: 715125
array[1362]: 780053
array[1363]: 114336
array[1364]: 700567
array[1365]: 381637
array[1366]: 127095
array[1367]: 739089
array[1368]: 602198
array[1369]: 1000131
array[1370]: 857793
array[1371]: 404287
array[1372]: 723799
array[1373]: 984062
array[1374]: 948673
array[1375]: 853998
array[1376]: 600407
array[1377]: 589940
array[1378]: 880562
array[1379]: 730718
array[1380]: 752188
array[1381]: 376020
array[1382]: 743526
array[1383]: 554737
array[1384]: 106295
array[1385]: 484937
array[1386]: 690829
array[1387]: 730481
array[1388]: 657154
array[1389]: 156352
array[1390]: 358041
array[1391]: 845345
array[1392]: 26646
array[1393]: 245821
array[1394]: 240030
array[1395]: 1019352
array[1396]: 166073
array[1397]: 590816
array[1398]: 75083
array[1399]: 658543
array[1400]: 346686
array[1401]: 819261
array[1402]: 62844
array[1403]: 322500
array[1404]: 962165
array[1405]: 805635
array[1406]: 667473
array[1407]: 157189
array[1408]: 746461
array[1409]: 420807
array[1410]: 707367
array[1411]: 660315
array[1412]: 798470
array[1413]: 290247
array[1414]: 546826
array[1415]: 759738
array[1416]: 533034
array[1417]: 763321
array[1418]: 642034
array[1419]: 751234
array[1420]: 823720
array[1421]: 285367
array[1422]: 69552
array[1423]: 83992
array[1424]: 444039
array[1425]: 327937
array[1426]: 890501
array[1427]: 423926
array[1428]: 734144
array[1429]: 740397
array[1430]: 683882
array[1431]: 1016359
array[1432]: 1015183
array[1433]: 451112
array[1434]: 451599
array[1435]: 438841
array[1436]: 6235
array[1437]: 676060
array[1438]: 625226
array[1439]: 759694
array[1440]: 34865
array[1441]: 25329
array[1442]: 146445
array[1443]: 393054
array[1444]: 865594
array[1445]: 736291
array[1446]: 791884
array[1447]: 221546
array[1448]: 640486
array[1449]: 256431
array[1450]: 923759
array[1451]: 813005
array[1452]: 410691
array[1453]: 441787
array[1454]: 420108
array[1455]: 736788
array[1456]: 39173
array[1457]: 866835
array[1458]: 802012
array[1459]: 540217
array[1460]: 295577
array[1461]: 687712
array[1462]: 65021
array[1463]: 643247
array[1464]: 58522
array[1465]: 694705
array[1466]: 223184
array[1467]: 1016133
array[1468]: 634344
array[1469]: 321289
array[1470]: 692507
array[1471]: 260549
array[1472]: 358416
array[1473]: 359060
array[1474]: 178187
array[1475]: 174476
array[1476]: 561058
array[1477]: 911227
array[1478]: 254186
array[1479]: 638315
array[1480]: 249805
array[1481]: 91068
array[1482]: 98449
array[1483]: 121160
